station_id,free_bikes,empty_slots,ebikes,slots,outdoor_space_num,num_parks
36c6491aa1b52e5ef7005f984738de27,4,11,2,15,49,27
8db822a266b5ccb3a1e323ddc8721d62,3,16,0,19,8,3
660275cd7d4368cc7590f1606c633bd6,10,15,8,25,9,7
fddada5adc997290212b3f540c017274,8,6,5,15,6,3
83d02cd8a043b8305a4031063005d32e,12,3,1,15,8,4
888e6052f1aebab8d8a527776b3499b6,8,6,2,15,4,1
f3e8bbaffc3930bc19681467b42595cf,6,12,0,19,12,9
1ffa6ec805ef0a7803b86fa6bef5c1af,19,6,1,27,13,7
65fcf6251f8e1caef9d4ec19d3c37f64,7,13,0,23,2,2
17a401a4d9de7e987b12cbc5686cadc2,28,7,5,35,4,1
6832a18f263cc93c01c71013a19baa8f,3,12,0,15,13,3
04840a5047543df6a5ff4f78ccc64a04,13,4,7,19,3,1
2a20aa1c87cc30a2968fe04fe4e5b0df,8,7,0,15,9,4
734e36f9bfc759c9c5b1b9b44a85966e,26,4,1,33,9,5
65f5707d61306518123222b4680bc282,7,12,0,22,25,14
a7671fb398de9ac6bd6bc552b5323b7a,5,20,4,27,13,4
0e58810dea9e4869279089cb8576642f,8,19,0,29,32,16
23f1b244e618444f565f402a81c585d6,4,14,4,19,4,4
3cc8af25d891cb13e3301e4a612d0383,14,0,7,15,51,8
517c47dab7563036263420e5eb1526a6,10,21,0,34,9,2
4c422c0fa82a3c9954a411ba87f52901,13,9,0,23,12,3
dbe6f3be853e1100918aa06b6418eb86,22,3,8,27,6,2
d45cc49cea4480b9116b1363dcc5355d,4,14,1,19,37,14
bfbe27bd89264f5821d6d0c7f0d2e765,6,9,0,15,2,2
3dee6dd50b00ebe97be68a34fa0c1590,13,2,3,15,4,2
9f8b5a5097e54b755691624a27a320a0,17,5,1,23,7,3
eeda0f4010f34ca2199f3585a76fef66,2,12,0,15,10,5
1f96d87b02f5ddf8831c2d5f2473b0a8,13,7,8,23,4,3
9575da078eee4b025a4c319fc2347b0d,5,14,1,19,7,4
8140fc3c3486abf913b0bd9211926f2b,18,16,3,34,2,2
1461a02f003268b78a89d6ad0ac551dd,3,19,0,23,9,6
